Unnamed: 0,诗人,文本,朝代,情感,题目,interpretation
2623,王彦泓,索笑追欢意不穷，风流日日事重重。人间花草真堪爱，遇著春风尽向东。,明,正面,索笑,解释: 这首诗描述了一个人在春天里的感受，他感到快乐和欢乐，享受着春天的美好。他喜欢花草，并且在春风的吹拂下，他感到尽情向东方追求自己的梦想和希望。 </s>
3892,辛弃疾,暖日晴风晚蝶忙，平林先著夜来霜。寒花毕竟亡聊甚，野菜畦边惨淡黄。,宋,负面,和周显先韵二首,解释: 这首诗描述了一个晚上的景象，暖日晴风晚蝶忙，但是夜晚来临，平林先著夜来霜，寒花毕竟亡聊甚，野菜畦边惨淡黄。这首诗表达了自然界的变化和生命的短暂性。 </s>
1899,张纲,闻道防秋吉语来，生朝宴席为君开。黄花也似知人意，争挽欢声入寿杯。,宋,正面,安人生日,解释: 这首诗描述了一个人在宴会上听到了一个关于防秋吉语的消息，并且他决定为这个消息的主人开宴席。诗中的黄花也似乎知道主人的意图，因为它们争着挽住欢声，让它们进入寿杯。这首诗传达了一种欢乐和祝福的氛围，表达了人们对寿命长延的愿望。 </s>
2659,司马光,吴酿木兰春，红鲈白锦鳞。玉盘聊下筯，初识紫丝莼。,宋,正面,孙器之奉使淮浙至江为书见寄以诗谢之,解释: 这首诗描述了春天的景象，吴酿木兰春是指春天的景色，红鲈白锦鳞是指春天的鱼类，玉盘聊下筯是指春天的食物，初识紫丝莼是指春天的花朵。整首诗表达了春天的美好和生机勃勃的景象。 </s>
4190,曾巩,江海多年似转蓬，白头归拜未央宫。堵墙学士惊相问，何处尘埃瘦老翁。,宋,负面,北归三首,解释: 这首诗描述了一个老人在江海多年后回到宫廷，被堵墙学士惊讶地问到他的年龄和经历。诗中的“江海多年似转蓬”表示老人经历了很多年，就像蓬草一样茂盛。而“白头归拜未央宫”则表示老人回到了宫廷，向皇帝报告了他的经历。最后，“何处尘埃瘦老翁”则表示老人的衣服已经破旧，脸上也有尘埃，显示出他的年龄和经历。 </s>
1333,张以宁,妖香冶艶底须誇，絶好姚黄魏紫家。一种天然清水上，爱花须让爱莲花。,明,正面,和同年马仲皋咏文韵,"释: 这首诗描述了一种美丽的花卉，它的香气和颜色都非常迷人。诗人描述了这种花卉的种类和特点，并表达了对它的热爱和欣赏。

这首诗的主题是自然美和爱好。诗人通过描述花卉的美丽和独特性，表达了对自然的热爱和欣赏。同时，诗人也表达了对花卉的爱好和欣赏，这种爱好可以让人们更好地欣赏和感受自然的美丽。

总之，这首诗是一首描述自然美和爱好"
1074,艾性夫,硎谷冬瓜幸未生，尚堪松下抱遗经。春秋断烂无人读，一点寒灯老眼青。,宋,负面,书无闷寮,解释: 这首诗描述了一个人在冬天的瓜蔓上找到了一个尚未生长的瓜，并且在松树下找到了一本古老的经书。虽然这些东西都已经失去了它们的原来的价值，但是这个人仍然感到幸福和满足。在这个寒冷的季节里，他感到孤独和寂寞，但是他仍然能够找到一些东西来满足他的内心。 </s>
1253,萨都剌,缁衣送酒一壶冰，霜蒂悬香九月橙。酌酒破橙天色晩，桂花树下出银灯。,元,正面,次和清凉寺长老韵,解释: 这首诗描述了一个秋天的夜晚，诗人在桂花树下喝着冰酒，欣赏着橙色的天空和悬挂在树上的桂花。诗人还提到了银灯的出现，这可能是一个庆祝活动的标志。整首诗充满了秋天的气息和温馨的感觉。 </s>
3971,李石,茶寇征商急，偷生蔽绿林。江湖自有备，盗贼岂初心。,宋,负面,感事,释: 这首诗描述了一个茶寇在寻找商机的过程中，经历了许多困难和挑战，但最终还是在江湖上找到了自己的位置。诗中的“茶寇”是指那些在茶叶市场上寻找商机的人，而“偷生蔽绿林”则是指他们在寻找商机的过程中，经常会遇到各种困难和挑战。诗中的“江湖”则是指茶叶市场，而“盗贼岂初心”则是指茶寇在寻找商机的过程中，不仅要面对各种困难和挑战，还要面对
2649,黄庭坚,春愁如发不胜梳，酒病绵绵困未苏。欲听淳音消妄想，抱琴端为一来无。,宋,中立,招戴道士弹琴,"释: 这首诗描述了春天的愁苦和病痛，以及作者想要通过听音乐和弹琴来缓解这些负面情绪。

在这首诗中，春天的愁苦和病痛被描述为如发不胜梳和酒病绵绵困未苏。这表明作者感到非常疲惫和痛苦，无法摆脱这些负面情绪。

然而，作者希望通过听淳音和弹琴来缓解这些情绪。淳音是一种古老的音乐形式，通常被认为是治愈和平静的。作者希望通过听这种音乐来"
4084,刘应时,二月风光渐恼人，蒙茸细雨湿花唇。可怜病目长憔悴，坐看纷纷万卉春。,宋,负面,春日即事三首,解释: 这首诗描述了二月的景象，描述了风景的变化和病人的悲哀。诗人描述了风景的变化，从渐恼人的景象到湿花唇的景象，表达了二月的气候变化。同时，诗人也描述了病人的悲哀，他们的眼睛因病而变得憔悴，无法欣赏到春天的美景。最后，诗人描述了春天万物复苏的景象，但是病人却无法享受到这一美景。 </s>
4630,黄庭坚,今年荔子熟南风，莫愁留滞太史公。五月照江鸭头绿，六月连山柘枝红。,宋,正面,次韵任道食荔支有感三首,解释: 这首诗描述了一个季节的变化，从五月到六月，江边的鸭子变得绿色，山上的柘枝变得红色。诗人在这里表达了对自然的感慨和对生命的热爱。 </s>
3982,张耒,偶来乘兴不须疑，一顷秋香欲发时。老子婆娑真为尔，百回相见愧鸬鹚。,宋,中立,梦至一园池藕花盛开水鸟飞鸣为作二小诗记之,解释: 这首诗是唐代诗人白居易写的，描述了一个人在秋天的时候，感受到了秋天的香气，并且感到非常愉悦。诗中提到了老子，这是一个古代的哲学家，他的思想对于这个人的感受也有很大的影响。最后，这个人感到非常愧疚，因为他曾经多次见到这个人，但是从未有机会向他表达自己的感受。 </s>
333,元稹,烛暗船风独梦惊，梦君频问向南行。觉来不语到明坐，一夜洞庭湖水声。,唐,负面,梦成之,解释: 这首诗描述了一个人在夜晚漂泊的经历。他的船在黑暗中漂浮，他孤独地梦见了一个人，但他不知道这个人是谁。他感到害怕，但他也感到好奇，因为他不知道这个人是谁。他梦见这个人向南行，但他不知道这个人要去哪里。他醒来后，他感到孤独和无助，但他也感到好奇，因为他不知道这个人是谁。他听到了洞庭湖的水声，这让他感到更加孤独和无助。 </s>
4797,范成大,紫袖当棚雪鬓凋，曾随广乐奏云韶。老来未忍耆婆舞，犹倚黄钟衮六么。,宋,中立,真定舞,解释: 这首诗描述了一个女子的生活经历，她曾经是一个美丽的女子，但现在她的容貌已经老去，她不再喜欢耆婆舞，而是倚靠黄钟衮。这首诗表达了时间的流逝和人生的变迁。 </s>
3034,温庭筠,芍药蔷薇语早梅，不知谁是艳阳才。今朝领得春风意，不复饶君雪里开。,唐,正面,三月十八日雪中作,解释: 这首诗描述了春天的美景，芍药、蔷薇和早梅都在春天盛开，艳阳天也在春天出现。诗人在春天的早晨领悟到春天的美好，并且不再怀疑谁是春天的主宰者。最后，诗人表达了对春天的热爱和对春天的感激之情。 </s>
1900,陆游,太平处处是优场，社日儿童喜欲狂。且看参军唤苍鹘，京都新禁舞斋郎。,宋,正面,春社四首,释: 这首诗描述了一个和平、繁荣的社会，孩子们快乐地玩耍，参军唤醒了苍鹘，京都新禁令下，舞斋郎也受到了限制。诗中的“太平处处是优场”表达了和平的美好，而“社日儿童喜欲狂”则描绘了孩子们的快乐。诗中的“参军唤苍鹘”则暗示了战争的可能性，而“京都新禁令下，舞斋郎也受到了限制”则表达了政府对社会的管制。整首诗描绘了一个和平、繁荣的社会，但也隐��
4243,欧阳修,苦雾霏霏著彩旗，犹排吉仗杂凶仪。常时凤辇行游处，今日龙輴恸哭随。,宋,负面,续作永昭陵挽词五首,释: 这首诗描述了一个历史事件，即唐朝时期的一场战争。诗中的“苦雾霏霏著彩旗”描述了战争的残酷和惨烈，“犹排吉仗杂凶仪”则表示战争的混乱和混乱。诗中的“常时凤辇行游处”描述了战争的残酷和残酷，“今日龙輴恸哭随”则表示战争的悲剧和悲剧。整首诗表达了战争的残酷和悲�
1612,陆游,参谋健笔落纵横，太尉清罇赏快晴。文雅风流虽可爱，关中遗虏要人平。,宋,中立,次韵子长题吴太尉云山亭,解释: 这首诗描述了一位文雅风流的人物，他的笔墨流畅，文笔清新，受到了太尉的赏赐。然而，他也有一个重要的使命，就是要平息关中的遗虏。这首诗表达了文雅风流的人物不仅有文学才华，还有责任感和使命感。 </s>
4841,夏竦,异表英奇非世出，惠心通敏尽生知。更当淑景承慈煦，永奉嘉祥茂本枝。,宋,正面,寿春郡王阁春帖子,解释: 这首诗描述了一个人的特质和品德，他的外表和行为都非常独特和出众，他的心灵敏感，善良慈爱，能够感知到世界的美好和生命的真谛。他的品德和行为值得崇拜和尊重，他的家族也应该继承他的美德，永远传承他的精神。 </s>
3046,寇准,雨歇南山积翠明，淡云消尽远天晴。漪涟不动秋塘静，独拄寒筇遶岸行。,宋,正面,秋日晚晴池上作,解释: 这首诗描述了一个秋天的景象，雨停了，南山绿树欣欣向荣，淡云消散，远处的天空晴朗明亮。秋天的塘水平静，没有波涟漾动，只有一个人独自拄着寒筇，漫步在岸边。这首诗通过描绘自然景象，表达了作者对秋天的喜爱和对生命的热爱。 </s>
1113,孙承恩,一鞭欵段喜陪君，指点高山多白云。地胜好教毛颖记，泉流拟把羽觞分。,明,正面,约诸友游万泉庄二首,解释: 这首诗描诉了一个人在旅途中的感受，他感到非常高兴能够和一位朋友一起旅行，并且在旅途中看到了许多美景。他描述了高山上的白云和泉水流淌的景象，表达了他对大自然的敬畏之情。最后，他提到了他的朋友毛颖，并且感谢他在旅途中的陪伴。 </s>
1375,赵蕃,片片乾飞已足悲，况堪风雨横相欺。卒然此恨何由释，倚頼重开有背枝。,宋,负面,残梅,解释: 这首诗描述了一个人在风雨中的孤独和悲伤。他的悲伤源于他的感情被欺骗了，他感到无助和孤独。他的悲伤和孤独使他感到无助和孤独，但他仍然坚强地坚持着，并且相信他的感情会重新开始。 </s>
85,范成大,绿野添花径，青春引杖藜。家人行乐处，双劝玉东西。,宋,正面,代儿童作立春贴门诗三首,解释: 这首诗描述了一个人在绿野添花径上漫步，他的青春充满了活力和热情，他的杖藜也随之而来。在这个美好的环境中，他的家人也在享受着快乐，并且他们也在劝他们的儿子和女儿尽可能地探索世界的东西和西方。这首诗传达了一种积极向上的情感，鼓励人们勇敢地追求自己的梦想和目标。 </s>
4331,杨万里,古有仲宣今仲方，二楼分贮一秋江。散愁幸有杯中月，莫下南窗下北窗。,宋,中立,寄题荆南抚干胡仲方公廨信美楼,解释: 这首诗描述了一个人在秋天的夜晚，坐在二楼的窗前，看着江水流过，感受到了一种宁静和愉悦的感觉。他感到幸福，因为他有一杯温暖的茶和一轮明月，这让他感到宁静和愉悦。他也感到愉悦，因为他可以在南窗下看到江水，也可以在北窗下看到江水，这让他感到自由和舒适。整首诗表达了一种宁静、愉悦和自由的感觉。 </s>
669,黄庭坚,朔风吹雪满都城，晓踏骅骝访玉京。相引槽头看春酒，细流三峡夜泉声。,宋,中立,访赵君举,解释: 这首诗描述了一个人在早晨走在城市中，看到朔风吹雪，满城都是雪。他踏着骑骆驼的人，前往玉京，这是一个古代的城市名称。在旅途中，他看到了春天的景象，喝了春酒，听到了三峡夜泉的声音。这首诗表达了一个人在旅途中的感受和体验。 </s>
3174,寇准,高桐深密间幽篁，乳燕声稀夏日长。独坐水亭风满袖，世间清景是微凉。,宋,正面,微凉,释: 这首诗描诉了一个人在夏日的深林中坐着，听着乳燕的声音，感受着微凉的风。诗中的“高桐深密间幽篁”形容了这个人所处的环境，“乳燕声稀夏日长”则表达了这个人所感受到的宁静和孤独。最后，“独坐水亭风满袖”描绘了这个人的孤独和寂静，但也带有一丝宁静和温暖。整首诗通过细腻的描写，表达了夏日的宁静
1532,苏轼,半园荒草没佳蔬，煮得占禾半是藷。万事思量都是错，不如还叩仲尼居。,宋,负面,过黎君郊居,解释: 这首诗描诉了一个人在园中的孤独和忧伤，他看到园中的草木已经荒芜，没有佳蔬，只有占禾，这让他感到孤独和忧伤。他感到万事思量都是错，不如还叩仲尼居，这表达了他对生活的沮丧和无奈。 </s>
2503,元稹,风吹笋箨飘红砌，雨打桐花盖绿莎。都大资人无暇日，泛池全少买池多。,唐,中立,和乐天题王家亭子,解释: 这首诗描述了春天的景象，风吹笋箨飘红砌，雨打桐花盖绿莎，表达了春天的生机勃勃和繁华景象。但是，诗中也提到了一些人们的现实问题，如大资人无暇日，泛池全少买池多，暗示了社会的不公和贫富差距。 </s>
2887,黄庭坚,投我木瓜霜雪枝，六年流落放归时。千岩万壑须重到，脚底危时幸见持。,宋,正面,走笔谢王朴居士拄杖,释: 这首诗描述了一个人在流浪的过程中，经历了许多困难和挫折，但最终还是回到了家中。诗中的“木瓜霜雪枝”是指这个人在流浪的过程中经历了许多困难和挫折，但最终还是回到了家中。诗中的“六年流落放归时”则是指这个人在流浪的过程中经历了许多困难和挫折，但最终还是回到了家中。诗中的“千岩万壑须重到”则是指这个人在流浪的过程中经历了许多困难和挫
2269,陆游,恶石从来岂汝仇，安居无患却堪忧。不须更守庚申夜，留取三彭儆惰偷。,宋,中立,自儆二首,释: 这首诗是唐代诗人白居易写的，表达了他对于恶石的看法。恶石是指那些不善良、不道德的人，他们从来不会对善良的人产生仇恨，但是他们却会给善良的人带来危险和忧虑。诗中提到的“庚申夜”是指农历十二月初二，这是一个非常危险的夜晚，因为这个时候很容易被盗窃。诗中的“三彭”是指三个月，也就是说，如果善良的人不能及时采取措施，就会被恶石所伤害。因此，诗中的意思是，��
1961,陈梅所,天下人知此一岩，霜清杖履雅宜闲。闽峯尽有堪怡处，猿鹤多时望客还。,宋,正面,淡山岩,解释: 这首诗描诉了一座山岩的美丽景色，以及在这里可以感受到的宁静和自由。诗中提到了山岩的清冷和雅致，以及周围的猿鹤和山峰，让人感到宁静和自由。 </s>
3217,元好问,团团石瓮琢青瑶，仰面看云觉动摇。谁著天瓢洒飞雨，半空翻转玉龙腰。,元,中立,黄华峪十绝句,解释: 这首诗描述了一个人在团团石瓮中琢青瑶的场景。他仰望天空，看到云彩在飘动，感到一种沉闷的感觉。接着，他看到一个人在天空中洒飞雨，半空中的玉龙腰也翻转了。这首诗表达了人们在自然界中的渺小和脆弱，以及自然界的力量和神秘。 </s>
741,王冕,冷艳凝轻露，清香度晚风。如何冰玉质，却学小桃红。,明,正面,梅花十五首,解释: 这首诗描述了一个女子的美丽和冷静，她的脸上凝聚着轻盈的露水，她的清香散发着晚风中的气息。她的肌肤如同冰玉般白皙，但她的笑容却像小桃红一样甜美。这首诗表达了女子的美丽和冷静，以及她的笑容和甜美的气息。 </s>
4422,李商隐,日日春光斗日光，山城斜路杏花香。几时心绪浑无事，得及游丝百尺长。,唐,中立,日日,解释: 这首诗描述了春天的美景和诗人的心情。诗人描述了春天的阳光和杏花的香气，表达了他的心情愉悦和轻松。他感到自己的心绪浑然一体，没有任何烦恼和忧虑，因此他可以愉快地游走在山城的斜路上，享受春天的美景和温暖的阳光。 </s>
2264,苏轼,天厩新颁玉鼻骍，故人共敝亦常情。相如虽老犹能赋，换马还应继二生。,宋,正面,戏周正孺二绝,解释: 这首诗是唐代诗人白居易写给他的好友王之涣的。诗中描述了白居易和王之涣之间的友谊，以及他们之间的相互理解和支持。诗中提到了白居易的老友相如，他虽然年老但仍然能够创作出优秀的诗歌。诗中还提到了换马的故事，这是一个古老的传说，意味着友谊的坚定和不易被打破。整首诗表达了友谊的珍贵和不可替代性。 </s>
168,白玉蟾,两点文章翰墨星，夜翱双鹤入青冥。楼前为忆张华剑，八百年来无血腥。,宋,负面,双溪馆,解释: 这首诗描诉了一个历史上的故事，讲述了张华剑在楼前战死的场景。诗中的“两点文章翰墨星”是指张华剑的文章，“夜翱双鹤入青冥”是指张华剑的灵魂飞向天堂。诗中还提到了“八百年来无血腥”，表达了张华剑的英勇事迹在历史上被传颂了八百年，没有留下任何血腥的记忆。 </s>
2053,方献夫,金碧辉辉映玉台，百花丛里五云堆。感恩稽首臣何祝，愿捧年年万寿杯。,明,正面,恭纪圣恩春日同游并颁赐殊品,解释: 这首诗描述了一个美丽的场景，金碧辉辉的景象在玉台上，百花丛里五云堆。诗人感恩稽首臣何祝，并愿意捧着年年万寿杯。这首诗表达了对美好事物的感激和对生命的祝福。 </s>
2227,黄庭坚,陶令舍中有名酒，无日不为父老倾。四座欢欣观酒德，一灯明暗又诗成。,宋,正面,谢答闻善二兄九绝句,解释: 这首诗描诉了陶令舍中的名酒，它是一种受人喜爱的饮品，每天都会被父老们倾倒。四座欢欣观酒德，一灯明暗又诗成，表达了酒的美味和酒文化的精髓。 </s>
1751,张诩,记得登陴谕贼时，至今草木感恩私。恨杀桥成人已去，相思如对岘山碑。,明,负面,相思桥,解释: 这首诗是唐代诗人白居易写的，描述了他登陴谕贼时的经历和感受。诗中提到了草木感恩私，表达了他对自然的感激之情。诗中还提到了恨杀桥成人已去，表达了他对战争和暴力的悲痛和愤怒。最后，诗中提到了相思如对岘山碑，表达了他对远方亲友的思念之情。整首诗表达了作者对自然、战争和思念的深刻感受。 </s>
4844,苏轼,道傍垂白定沾巾，正似当年绿发新。故国依然乔木在，典刑复见老成人。,宋,正面,送欧阳主簿赴官韦城四首,解释: 这首诗描诉了一个人在旅途中回到故乡，看到了曾经的景象，感到悲伤和思念。他看到了曾经的朋友和亲人，但他们已经老去，不再年轻。他也看到了曾经的树木，但它们已经老去，不再年轻。这首诗表达了对过去的怀念和对老年人的尊重。 </s>
2657,朱淑真,清江碧草两悠悠，各自风流一种愁。正是落花寒食夜，夜深无伴倚空楼。,宋,负面,春夜感怀,解释: 这首诗描述了一个人在清江边上的感受。他看到碧绿的草地和清澈的江水，感到很孤独和寂寞。他想起了落花寒食的夜晚，感到孤独和无助。他坐在空楼上，夜深了，没有人陪伴，只有他一个人倚着窗户，感到孤独和寂寞。 </s>
4810,王安石,蔼蔼春风入水村，森森乔木映朱门。高人遗迹空佳句，谁识旌阳后世孙。,宋,负面,祈泽寺见许坚题诗,"解释: 这首诗描述了春天的景象，春风吹拂着水村，树木挺拔，朱门映照着树木的影子。诗中提到了一位高人的遗迹，但是没有人知道他的名字。最后，诗中提到了一个人名叫旌阳，他是这位高人的后代。

这首诗通过描绘春天的景象，表达了对高人遗迹的敬意和对后代的期望。同时，也表达了对历史的感慨和对未来的期望。 </s>"
289,苏轼,山茶相对阿谁栽，细雨无人我独来。说似与君君不会，烂红如火雪中开。,宋,中立,邵伯梵行寺山茶,"释: 这首诗描诉了一个人在山茶花下的孤独感和对爱情的思考。山茶花是一种常见的花卉，它的花朵呈现出烂红色，如火一般燃烧。诗人在这里描述了自己独自来到这里，看到了这些美丽的花朵，但却没有人陪伴。诗人感到孤独，但也感到自由，因为他可以自由地欣赏这些美丽的花朵。

在诗中，诗人还提到了与一个人相对栽培的山茶花，这可能是一种比喻，表示诗人的爱情。"
4285,韦应物,南楼夜已寂，暗鸟动林间。不见城郭事，沈沈唯四山。,唐,负面,夜望,解释: 这首诗描述了一个夜晚的场景，南楼已经安静下来，只有暗鸟在林间飞舞。诗人没有看到城市的景象，只有四座山峰在沉默中显得格外壮观。这首诗表达了诗人对自然的敬畏和对城市的孤独感。 </s>
3442,张孝祥,火云飞电远连天，太息斋厨几不膻。定自随车有甘雨，为言星使早加鞭。,宋,正面,寿老迓使者以斋素不置饯,解释: 这首诗描诉了一个人在旅途中的经历。他看到了火云飞电，太息斋厨几不膻，这表明他经历了一场暴风雨。他认为这场暴风雨是由星使引起的，因此他决定早点加鞭，以免被暴风雨淋湿。这首诗表达了一个人在旅途中的勇气和决心，以及他对自然力量的敬畏。 </s>
2382,杜牧,千里莺啼绿映红，水村山郭酒旗风。南朝四百八十寺，多少楼台烟雨中。,唐,负面,江南春绝句,解释: 这首诗描述了一个美丽的水乡景色，诗中提到了千里莺啼绿映红的美景，水村山郭酒旗风的氛围，以及南朝四百八十寺的古建筑。诗中还描绘了许多楼台烟雨中的景象，营造出一种宁静、悠闲的氛围。 </s>
3817,张以宁,江边三月草凄凄，緑树苍烟望欲迷。细雨孤帆春睡起，青山两岸画眉啼。,明,负面,过桐庐,解释: 这首诗描述了江边的春天景象，草木凋零，绿树苍烟，细雨孤帆，青山两岸，画眉啼鸟。诗人通过描绘这些景象，表达了春天的孤独和寂静，以及大自然的美丽和神秘。 </s>
3206,吴师道,单衣小立怯西风，病骨诗愁冷淡中。一片清秋在何处，豆花篱落雨濛濛。,元,负面,病起,解释: 这首诗描述了一个人在秋天的清晨，穿着单衣，感到害怕和孤独。他的病骨和诗愁使他感到冷淡和沮丧。他在寻找一片清秋的景色，但是雨滴淅沥，让他感到沮丧和孤独。 </s>
2675,程敏政,菱角石榴鲜可爱，田鸡水鳖味尤佳。笑谈初涸沙溪酒，正及黄蜂放晚衙。,明,正面,八月九日醉书,解释: 这首诗描述了一个美丽的自然景象，包括菱角石榴和田鸡水鳖的美味，以及在沙溪酒店享受美食和美景的愉悦体验。诗人还提到了黄蜂放晚衙的情景，暗示着时间的流逝和生命的短暂。整首诗充满了自然和生命的美好，表达了诗人对自然和生命的热爱和感激之情。 </s>
1744,文天祥,千金铸镜百神愁，功与当年禹服侔。荆棘故宫魑魅走，空馀扬子水东流。,宋,负面,端午感兴,解释: 这首诗描诉了一个历史故事，讲述了禹服侔在古代的故事。禹服侔是一位勇敢的将军，他在战场上表现出色，但在战争结束后，他的功绩被忽视了。他的镜子也因为千金铸成，但却被荆棘所损坏，最终流落在扬子江东岸。这首诗通过描述禹服侔的故事，表达了作者对于历史上英雄人物的敬仰和对于历史的思考。 </s>
4482,杨万里,平叔曾过魏秀才，何如老子致元台。苍松翠竹青苔径，也不传呼宰相来。,宋,负面,大丞相益国周公访予于碧瑶洞天刘敏叔写以为图求予书其后,解释: 这首诗是在描述一个人平叔的经历和他的态度。平叔曾经是魏国的秀才，但他并不想追求名利，更希望能够追求真理和自由。他喜欢在苍松翠竹青苔的小径上散步，享受大自然的美好，也不会因为呼唤宰相而离开这个美好的环境。这首诗表达了平叔的宁静和自由的态度，以及他对于名利和权力的抗拒。 </s>
230,刘克庄,伯兄乃汉司徒掾，季子亦唐行秘书。只愿荆花常烂熳，莫令瓜蔓稍稀疎。,宋,中立,三月二十五日饮方校书园十绝,解释: 这首诗是唐代诗人白居易写给他的兄长白居易的诗。诗中描述了白居易兄弟的职业和生活，希望他们能够一直保持着荣耀和尊贵，不要让自己的荣誉和地位减少。诗中的“荆花”和“瓜蔓”是比喻，表示荣誉和地位的增长和稳定。 </s>
3299,方一夔,我是卿家老寡妻，哭卿墓下草凄凄。纸钱乱挂浇残酒，人去黄昏鸦正啼。,宋,负面,寒食上冢,解释: 这首诗是唐代诗人白居易写给他的妻子的。诗中描述了妻子在丈夫去世后的哀思和孤独。她在墓前哭泣，看到纸钱和残酒，感到非常悲伤。夜晚鸦啼声也让她更加孤独和寂寞。 </s>
