정답,문장1,단어1,문장2
0,당을 위해 20년 동안 헌신하고 투쟁해왔다. 그러나 이렇게 토사구팽 당하나 싶어 자괴감과 허탈함이 이루 말할 수 없었다.,토사구팽,당을 위해 20년 동안 헌신하고 투쟁해왔다. 왜냐면 이렇게 토사구팽 당하나 싶어 자괴감과 허탈함이 이루 말할 수 없었다.
0,벨기에에서도 비슷한 사건이 발생했다는 보고가 접수되고 있다. 그러나 주사기에 담긴 성분의 정체는 물론 범행 동기가 무엇인지도 오리무중이다.,오리무중,벨기에에서도 비슷한 사건이 발생했다는 보고가 접수되고 있다. 그래서 주사기에 담긴 성분의 정체는 물론 범행 동기가 무엇인지도 오리무중이다.
0,정훈은 지난해 1군 데뷔 후 최고의 시즌을 보냈다. 그리고 3년 총액 18억 원의 FA 계약까지 체결하며 대기만성의 표본을 보여줬다.,대기만성,정훈은 지난해 1군 데뷔 후 최고의 시즌을 보냈다. 그러나 3년 총액 18억 원의 FA 계약까지 체결하며 대기만성의 표본을 보여줬다.
0,안 후보와 김 후보는 이력과 재산 측면에서 ‘용호상박’이다. 그러나 지역구에서의 판세는 안 후보가 압도적이다.,용호상박,안 후보와 김 후보는 이력과 재산 측면에서 ‘용호상박’이다. 그래서 지역구에서의 판세는 안 후보가 압도적이다.
0,현재까지 한국의 정당들은 후속 세대를 체계적으로 길러내지 못했다. 그리고 정책연구소를 통한 정책정당으로의 환골탈태도 하지 못했다.,환골탈태,현재까지 한국의 정당들은 후속 세대를 체계적으로 길러내지 못했다. 그러나 정책연구소를 통한 정책정당으로의 환골탈태도 하지 못했다.
0,마지막 경기인 크리스탈 팰리스전에서도 패하며 7위로 추락할 뻔 했다. 그러나 웨스트햄 유나이티드도 승리를 챙기지 못하면서 어부지리로 6위로 시즌을 마감했다.,어부지리,마지막 경기인 크리스탈 팰리스전에서도 패하며 7위로 추락할 뻔 했다. 그래서 웨스트햄 유나이티드도 승리를 챙기지 못하면서 어부지리로 6위로 시즌을 마감했다.
0,포그바는 월드 베스트까지 선정되며 세계 정상급 미드필더로 도약했다. 그리고 유벤투스의 활약을 바탕으로 포그바는 2016년 맨유로 금의환향했다.,금의환향,포그바는 월드 베스트까지 선정되며 세계 정상급 미드필더로 도약했다. 왜냐면 유벤투스의 활약을 바탕으로 포그바는 2016년 맨유로 금의환향했다.
0,지난해 링 복귀 4차전이 예정돼 있었다. 그러나 코로나 장기화로 모든 스포츠가 중단되고 설상가상 드라마 촬영을 앞두고는 손목이 부러졌다.,설상가상,지난해 링 복귀 4차전이 예정돼 있었다. 그래서 코로나 장기화로 모든 스포츠가 중단되고 설상가상 드라마 촬영을 앞두고는 손목이 부러졌다.
0,2월에 코로나19에 확진되면서 열흘 가량 쉰 게 전부였다. 그러나 이 기간 동안 오른팔 삼두근 부상이 회복돼 전화위복이 됐다.,전화위복,2월에 코로나19에 확진되면서 열흘 가량 쉰 게 전부였다. 왜냐면 이 기간 동안 오른팔 삼두근 부상이 회복돼 전화위복이 됐다.
0,저는 사회적 리더로서 책임을 지는 행동을 하며 지역에 봉사해왔습니다. 그리고 어려움에 처한 시민들을 위해 살신성인의 정신으로 정의를 실천했습니다. ,살신성인,저는 사회적 리더로서 책임을 지는 행동을 하며 지역에 봉사해왔습니다. 그러나 어려움에 처한 시민들을 위해 살신성인의 정신으로 정의를 실천했습니다. 
0,"몸에 끈적거리는 걸 싫어해서 크림 바르는 걸 썩 좋아하지는 않는다. 그래서 목 관리는 그렇게 잘했다고 얘기할 수는 없는데, 자업자득인 것 같다.",자업자득,"몸에 끈적거리는 걸 싫어해서 크림 바르는 걸 썩 좋아하지는 않는다. 왜냐면 목 관리는 그렇게 잘했다고 얘기할 수는 없는데, 자업자득인 것 같다."
0,이제 국민의힘에 더 힘이 실리겠지만 여전히 국회의 다수당은 민주당이다. 그래서 여당을 경험한 민주당과 소수 여당이 된 국민의힘은 역지사지를 되새겨야 한다.,역지사지,이제 국민의힘에 더 힘이 실리겠지만 여전히 국회의 다수당은 민주당이다. 왜냐면 여당을 경험한 민주당과 소수 여당이 된 국민의힘은 역지사지를 되새겨야 한다.
0,일단의 세력들이 정치이슈를 들먹이며 주가를 들었다 놨다 하려는 행태도 문제다. 그러나 여기에 부화뇌동해 일단 시장에 뛰어들고 보는 참가자들의 태도도 위험천만하다.,부화뇌동,일단의 세력들이 정치이슈를 들먹이며 주가를 들었다 놨다 하려는 행태도 문제다. 왜냐면 여기에 부화뇌동해 일단 시장에 뛰어들고 보는 참가자들의 태도도 위험천만하다.
0,새로운 정부가 출범하면 일반적으로 규제 완화를 추진한다. 그러나 과거의 예를 보면 규제 개혁은 일반적으로 용두사미에 그치는 경향이 있다. ,용두사미,새로운 정부가 출범하면 일반적으로 규제 완화를 추진한다. 왜냐면 과거의 예를 보면 규제 개혁은 일반적으로 용두사미에 그치는 경향이 있다. 
0,강원도 강릉에서 태백산에 이르기까지 항거는 멈추지 않았다. 그러나 국운이 기운 조선의 국권은 풍전등화였다.,풍전등화,강원도 강릉에서 태백산에 이르기까지 항거는 멈추지 않았다. 그래서 국운이 기운 조선의 국권은 풍전등화였다.
0,이번 판결은 정년보장형 임금피크제에 한정된 판결이다. 그러나 사회 일각에서는 이를 아전인수 격으로 해석해 소송을 부추기고 있다.,아전인수,이번 판결은 정년보장형 임금피크제에 한정된 판결이다. 왜냐면 사회 일각에서는 이를 아전인수 격으로 해석해 소송을 부추기고 있다.
0,그들은 거리 곳곳의 선거용 홍보물을 말끔하게 치워야 한다. 왜냐면 선거법은 홍보물을 걸고 붙인 사람이 치우도록 결자해지 원칙을 못 박고 있다.,결자해지,그들은 거리 곳곳의 선거용 홍보물을 말끔하게 치워야 한다. 그래서 선거법은 홍보물을 걸고 붙인 사람이 치우도록 결자해지 원칙을 못 박고 있다.
0,대리 수술은 의사를 믿고 자신의 몸을 온전히 맡긴 환자를 기만하는 파렴치한 범죄 행위다. 그래서 경찰은 엄정한 수사를 통해 사실로 확인될 경우 일벌백계해야 한다.,일벌백계,대리 수술은 의사를 믿고 자신의 몸을 온전히 맡긴 환자를 기만하는 파렴치한 범죄 행위다. 그러나 경찰은 엄정한 수사를 통해 사실로 확인될 경우 일벌백계해야 한다.
0,한화는 5회까지 퍼펙트 투구를 펼친 두산 선발 최원준에게 꽁꽁 묶여 있었다. 그러나 0-1로 뒤지던 한화는 난공불락의 최원준을 6회 무너뜨리기 시작했다.,난공불락,한화는 5회까지 퍼펙트 투구를 펼친 두산 선발 최원준에게 꽁꽁 묶여 있었다. 왜냐면 0-1로 뒤지던 한화는 난공불락의 최원준을 6회 무너뜨리기 시작했다.
0,인심 좋고 살기 좋았던 내 고향 강화였다. 그러나 지금은 네 편 내 편으로 갈라져 소수만 호가호위하고 다수는 하고 싶은 말도 못 하는 실정이다.,호가호위,인심 좋고 살기 좋았던 내 고향 강화였다. 그래서 지금은 네 편 내 편으로 갈라져 소수만 호가호위하고 다수는 하고 싶은 말도 못 하는 실정이다.
0,"갈등이 깊어지고, 정치 양극화가 심해지는 것에 안타깝게 생각한다. 그러나 김 후보는 정치 좌우를 떠나 주경야독, 형설지공을 했다는 부분에서 젊은이들에게 롤 모델이 되고 있다.",형설지공,"갈등이 깊어지고, 정치 양극화가 심해지는 것에 안타깝게 생각한다. 그리고 김 후보는 정치 좌우를 떠나 주경야독, 형설지공을 했다는 부분에서 젊은이들에게 롤 모델이 되고 있다."
0,가난한 나라 사람들일수록 콩 한 쪽도 나눠 먹는다. 그러나 서유럽 쪽은 음식 양을 조삼모사 식으로 속여 마음의 상처를 받게 한다,조삼모사,가난한 나라 사람들일수록 콩 한 쪽도 나눠 먹는다. 그래서 서유럽 쪽은 음식 양을 조삼모사 식으로 속여 마음의 상처를 받게 한다
0,신체 리듬이 뒤죽박죽이다. 그래서 전전반측하며 이 생각 저 생각으로 꼬박 날을 새기도 한다.,전전반측,신체 리듬이 뒤죽박죽이다. 그러나 전전반측하며 이 생각 저 생각으로 꼬박 날을 새기도 한다.
0,"삼성과 구글이 협업하여 웨어OS를 선보인 지 1년, 웨어OS 단말기 수가 지난해 같은 기간에 비해 세 배 넘게 급증했다. 그러나 일각에서는 '오월동주'라는 관측도 나온다.",오월동주,"삼성과 구글이 협업하여 웨어OS를 선보인 지 1년, 웨어OS 단말기 수가 지난해 같은 기간에 비해 세 배 넘게 급증했다. 왜냐면 일각에서는 '오월동주'라는 관측도 나온다."
0,롯데백화점과 AK골프의 관계는 피보다 진하다. 그러나 순망치한이나 다름없는 둘 간의 관계가 최근 균열 조짐을 보이고 있다.,순망치한,롯데백화점과 AK골프의 관계는 피보다 진하다. 그래서 순망치한이나 다름없는 둘 간의 관계가 최근 균열 조짐을 보이고 있다.
0,"기획재정부의 확장재정 정책은 긴축으로, 부동산 수요 억제는 규제 개선으로 단박에 바뀌었다. 그래서 이 같은 관료들의 조변석개를 두고 나온 말이 '영혼 없는 공무원'이다.",조변석개,"기획재정부의 확장재정 정책은 긴축으로, 부동산 수요 억제는 규제 개선으로 단박에 바뀌었다. 왜냐면 이 같은 관료들의 조변석개를 두고 나온 말이 '영혼 없는 공무원'이다."
0,선거 후반에 접어들면서 상대의 네거티브는 더 거세졌다. 그러나 나는 초지일관 정책대결로 승부한다는 원칙을 지켰다.,초지일관,선거 후반에 접어들면서 상대의 네거티브는 더 거세졌다. 왜냐면 나는 초지일관 정책대결로 승부한다는 원칙을 지켰다.
0,서방 정상들은 인플레이션 급등으로 인한 지지율 하락을 면하기 어렵다. 그래서 당장 오는 11월 중간선거를 앞둔 조 바이든 미국 대통령도 사면초가다.,사면초가,서방 정상들은 인플레이션 급등으로 인한 지지율 하락을 면하기 어렵다. 그러나 당장 오는 11월 중간선거를 앞둔 조 바이든 미국 대통령도 사면초가다.
0,현재도 많은 기업들이 세대교체를 진행중이다. 그러나 2년 남짓의 팬데믹 동안 상전벽해와도 같이 변화된 시장에서 성장해 나갈 기업들이 몇이나 될지는 미지수다.,상전벽해,현재도 많은 기업들이 세대교체를 진행중이다. 왜냐면 2년 남짓의 팬데믹 동안 상전벽해와도 같이 변화된 시장에서 성장해 나갈 기업들이 몇이나 될지는 미지수다.
0,고객님들은 돈 잘 버는 디자이너에게 지갑을 열기보다 기술과 서비스를 잘하는 디자이너에게 지갑을 연다. 그래서 정직하고 꾸준하면 대기만성한다고 장담한다.,대기만성,고객님들은 돈 잘 버는 디자이너에게 지갑을 열기보다 기술과 서비스를 잘하는 디자이너에게 지갑을 연다. 그러나 정직하고 꾸준하면 대기만성한다고 장담한다.
0,스마트폰 시대의 도래 이후 모토로라는 영광을 잃었다. 그러나 가격 대비 뛰어난 성능으로 권토중래를 꿈꾸며 한국을 다시 찾았다.,권토중래,스마트폰 시대의 도래 이후 모토로라는 영광을 잃었다. 왜냐면 가격 대비 뛰어난 성능으로 권토중래를 꿈꾸며 한국을 다시 찾았다.
0,그는 셀럽들이 입었던 걸 미친 듯이 달려가서 산다고 한다. 그러나 손만 댔다 하면 유행이 끝나버리는 안타까운 사연에 분위기는 점입가경으로 치닫는다.,점입가경,그는 셀럽들이 입었던 걸 미친 듯이 달려가서 산다고 한다. 그래서 손만 댔다 하면 유행이 끝나버리는 안타까운 사연에 분위기는 점입가경으로 치닫는다.
0,오세도 씨는 자체 브랜드를 생산하며 높은 퀄리티와 저렴한 가격으로 자전거를 판매하고 있다. 그래서 그의 매장에는 사람들이 문전성시를 이룬다.,문전성시,오세도 씨는 자체 브랜드를 생산하며 높은 퀄리티와 저렴한 가격으로 자전거를 판매하고 있다. 그러나 그의 매장에는 사람들이 문전성시를 이룬다.
0,양현종은 지난달 31일 잠실 두산전에서 통산 152승째를 따내 KT 이강철 감독과 최다승 공동 3위에 올라 있다. 그래서 청출어람을 증명하는 순간을 지켜보기 위해 연휴를 맞은 팬들이 운집했다.,청출어람,양현종은 지난달 31일 잠실 두산전에서 통산 152승째를 따내 KT 이강철 감독과 최다승 공동 3위에 올라 있다. 왜냐면 청출어람을 증명하는 순간을 지켜보기 위해 연휴를 맞은 팬들이 운집했다.
0,미국과 정면으로 맞서고 있는 중국으로서도 러시아의 구원 요청을 마다할 리가 없다. 그래서 중국의 계산식에는 이번 기회에 미국의 괄목상대가 중국이라는 것을 재확인시킬 것으로 예상된다.,괄목상대,미국과 정면으로 맞서고 있는 중국으로서도 러시아의 구원 요청을 마다할 리가 없다. 왜냐면 중국의 계산식에는 이번 기회에 미국의 괄목상대가 중국이라는 것을 재확인시킬 것으로 예상된다.
0,이러한 해결책 방안을 마련하기 위해 릴레이 민원 등 많은 노력을 해왔다. 그러나 결국 돌아오는 답변은 언제나 한결 같은 동문서답이었다.,동문서답,이러한 해결책 방안을 마련하기 위해 릴레이 민원 등 많은 노력을 해왔다. 그래서 결국 돌아오는 답변은 언제나 한결 같은 동문서답이었다.
0,패전국의 국민으로 산다는 것은 그 때나 오늘이나 척박하고 무력해서 불안하다. 그래서 루세는 이러한 불안에서 탈출하려고 동분서주했고 운 좋게 피난마차에 오를 수 있었다. ,동분서주,패전국의 국민으로 산다는 것은 그 때나 오늘이나 척박하고 무력해서 불안하다. 왜냐면 루세는 이러한 불안에서 탈출하려고 동분서주했고 운 좋게 피난마차에 오를 수 있었다. 
0,"기업규제 3법, 중대재해처벌법 등 기업을 옥죄는 규제를 다수 도입해 기업의 부담을 늘렸다. 그래서 이런 환경에서 기업인들의 사기가 올라가기를 기대하는 것은 연목구어와 다를 바 없다.",연목구어,"기업규제 3법, 중대재해처벌법 등 기업을 옥죄는 규제를 다수 도입해 기업의 부담을 늘렸다. 그러나 이런 환경에서 기업인들의 사기가 올라가기를 기대하는 것은 연목구어와 다를 바 없다."
0,맥도날드가 러시아 시장에서 철수를 결정하며 회계상 손실 비용을 피할 수 없게 됐다. 그러나 이는 그곳에서의 사업 지속에 따른 소탐대실의 우를 범하지 않기 위한 전략적 선택이다. ,소탐대실,맥도날드가 러시아 시장에서 철수를 결정하며 회계상 손실 비용을 피할 수 없게 됐다. 그래서 이는 그곳에서의 사업 지속에 따른 소탐대실의 우를 범하지 않기 위한 전략적 선택이다. 
0,박보균 문화체육관광부 장관 후보자는 내정 직후 '전문성 부족'과 '짙은 편향성' 논란에 휩싸였다. 그래서 문체부 수장으로서 인정받기 위해선 '절차탁마'해야 한다.,절차탁마,박보균 문화체육관광부 장관 후보자는 내정 직후 '전문성 부족'과 '짙은 편향성' 논란에 휩싸였다. 그리고 문체부 수장으로서 인정받기 위해선 '절차탁마'해야 한다.
0,롯데건설은 HDC현대산업개발과 묶여 서금사A구역 시공계약을 해지당하는 어려움을 겪었다. 그러나 단독시공으로 사업장을 다시 확보하게 되면 전화위복이 될 수도 있다는 시선이 나온다.,전화위복,롯데건설은 HDC현대산업개발과 묶여 서금사A구역 시공계약을 해지당하는 어려움을 겪었다. 왜냐면 단독시공으로 사업장을 다시 확보하게 되면 전화위복이 될 수도 있다는 시선이 나온다.
0,이날도 화물연대는 200명 가량의 노조원을 신항만에 배치해서 컨테이너 차량을 막았다. 그래서 울산석유화학공단내 입주 20여개 기업체들도 생산한 석유화학 제품을 공장 마당에 적재해 둔 채 전전긍긍하고 있다.,전전긍긍,이날도 화물연대는 200명 가량의 노조원을 신항만에 배치해서 컨테이너 차량을 막았다. 왜냐면 울산석유화학공단내 입주 20여개 기업체들도 생산한 석유화학 제품을 공장 마당에 적재해 둔 채 전전긍긍하고 있다.
0,자영업이 원자재 가격 급등이라는 또 하나의 핵펀치를 맞아 생사의 기로에 몰리고 있다. 그래서 이들에게 원자재 비용 상승의 충격을 알아서 흡수하라고 하는 것은 후안무치한 태도다.,후안무치,자영업이 원자재 가격 급등이라는 또 하나의 핵펀치를 맞아 생사의 기로에 몰리고 있다. 그러나 이들에게 원자재 비용 상승의 충격을 알아서 흡수하라고 하는 것은 후안무치한 태도다.
0,진정한 노력으로 흘리는 땀의 대가인 성공의 얼굴은 멀리서도 후광이 난다. 그러나 온갖 술수와 불법으로 얻어진 성공은 무기력한 사상누각에 불과하다.,사상누각,진정한 노력으로 흘리는 땀의 대가인 성공의 얼굴은 멀리서도 후광이 난다. 왜냐면 온갖 술수와 불법으로 얻어진 성공은 무기력한 사상누각에 불과하다.
0,러시아 군은 그동안 우크라이나 군에 파상 공세를 펴왔다. 그러나 파죽지세 같았던 러시아 군의 진격 속도는 일주일 사이 눈에 띄게 줄어들었다.,파죽지세,러시아 군은 그동안 우크라이나 군에 파상 공세를 펴왔다. 왜냐면 파죽지세 같았던 러시아 군의 진격 속도는 일주일 사이 눈에 띄게 줄어들었다.
0,그는 어려운 가정형편 탓에 마산공고 졸업 뒤 전자회사에 입사했다. 그리고 주경야독으로 대학을 졸업했다.,주경야독,그는 어려운 가정형편 탓에 마산공고 졸업 뒤 전자회사에 입사했다. 왜냐면 주경야독으로 대학을 졸업했다.
0,박정원 두산그룹 회장은 정부와 채권단의 지원을 받은 것은 금전적 부채를 넘어 사회적 부채를 진 것으로 생각한다고 했다. 그래서 두산은 이후 ‘각골난망’의 심정으로 구조 조정에 돌입했다.,각골난망,박정원 두산그룹 회장은 정부와 채권단의 지원을 받은 것은 금전적 부채를 넘어 사회적 부채를 진 것으로 생각한다고 했다. 그러나 두산은 이후 ‘각골난망’의 심정으로 구조 조정에 돌입했다.
0,이 집 버섯구이와 대구찜은 한국에 온 듯한 맛이었다. 그리고 레몬크림 오이스터는 굴의 풍미가 크림과 초록동색 처럼 어울리다가 레몬의 상큼함으로 밀키한 느낌을 상쇄했다.,초록동색,이 집 버섯구이와 대구찜은 한국에 온 듯한 맛이었다. 왜냐면 레몬크림 오이스터는 굴의 풍미가 크림과 초록동색 처럼 어울리다가 레몬의 상큼함으로 밀키한 느낌을 상쇄했다.
0,군민의 고단한 삶을 보듬고 챙기는데도 최선을 다하겠습니다. 그리고 천금 같은 기회를 다시 한번 주신만큼 부흥의 부여군을 이룩하는데 분골쇄신 하겠습니다.,분골쇄신,군민의 고단한 삶을 보듬고 챙기는데도 최선을 다하겠습니다. 그러나 천금 같은 기회를 다시 한번 주신만큼 부흥의 부여군을 이룩하는데 분골쇄신 하겠습니다.
0,강인함과 단호함이 때론 오해를 불러일으키기도 한다. 그러나 적어도 순간을 모면하기 위해 감언이설을 해선 안 된다고 생각한다.,감언이설,강인함과 단호함이 때론 오해를 불러일으키기도 한다. 왜냐면 적어도 순간을 모면하기 위해 감언이설을 해선 안 된다고 생각한다.
0,화물연대는 무기한 전면 파업이 벌어질 경우 산업에 미치는 영향이 크기 때문에 정부와 대화로 해결하려고 했다. 그러나 정부는 제도가 소멸될 시간까지 수수방관했다.,수수방관,화물연대는 무기한 전면 파업이 벌어질 경우 산업에 미치는 영향이 크기 때문에 정부와 대화로 해결하려고 했다. 그래서 정부는 제도가 소멸될 시간까지 수수방관했다.
1,재벌 개혁을 공언한 문재인 정부의 반기업·반시장 정책 기조는 기업의 기를 꺾었다. 그러나 기업은 눈치나 살피는 복지부동 자세를 취할 수밖에 없었다.,복지부동,재벌 개혁을 공언한 문재인 정부의 반기업·반시장 정책 기조는 기업의 기를 꺾었다. 그래서 기업은 눈치나 살피는 복지부동 자세를 취할 수밖에 없었다.
1,그는 타격에서는 두 자릿수 도루를 기록하며 주루에서 팀에 기여하고 있다. 그러나 수비에서는 명불허전의 모습을 보여주며 감탄을 자아내고 있다.,명불허전,그는 타격에서는 두 자릿수 도루를 기록하며 주루에서 팀에 기여하고 있다. 그리고 수비에서는 명불허전의 모습을 보여주며 감탄을 자아내고 있다.
1,중국 정부의 강력한 봉쇄조치에 따라 엄청난 경제적 피해는 물론 인권 침해 등 각종 사회적 문제가 발생하고 있다. 그래서 방역 전문가들의 비판에도 중국 정부는 ‘마이동풍’이다.,마이동풍,중국 정부의 강력한 봉쇄조치에 따라 엄청난 경제적 피해는 물론 인권 침해 등 각종 사회적 문제가 발생하고 있다. 그러나 방역 전문가들의 비판에도 중국 정부는 ‘마이동풍’이다.
1,"민진당은 미국이 대만을 보호할 것이고, 중국군이 대만해협에서 어려움을 겪을 것이라고 주장했다. 왜냐면 환구시보는 이것을 두고 일종의 허장성세라고 주장했다.",허장성세,"민진당은 미국이 대만을 보호할 것이고, 중국군이 대만해협에서 어려움을 겪을 것이라고 주장했다. 그러나 환구시보는 이것을 두고 일종의 허장성세라고 주장했다."
1,우리은행은 '614억원 횡령' 사고로 고객의 신뢰에 큰 타격을 입었다. 그러나 우리은행장은 '읍참마속'의 심정으로 무너진 신뢰를 다시 쌓아나갈 것을 강력 주문했다.,읍참마속,우리은행은 '614억원 횡령' 사고로 고객의 신뢰에 큰 타격을 입었다. 그래서 우리은행장은 '읍참마속'의 심정으로 무너진 신뢰를 다시 쌓아나갈 것을 강력 주문했다.
1,기후변화는 지금 당장 우리 삶에 영향을 미치는 위기로 다가오고 있다. 그러나 전 세계가 협력해서 해결해야 할 공동의 과제임을 명심하여 망양보뢰의 누를 범하지 않았으면 한다.,망양보뢰,기후변화는 지금 당장 우리 삶에 영향을 미치는 위기로 다가오고 있다. 그래서 전 세계가 협력해서 해결해야 할 공동의 과제임을 명심하여 망양보뢰의 누를 범하지 않았으면 한다.
1,작년도 실적도 좋았고 철강재의 가격이 크게 올라 큰 걱정이 없다. 왜냐면 최정우 포스코 회장은 주마가편의 고삐를 바짝 당기고 있다.,주마가편,작년도 실적도 좋았고 철강재의 가격이 크게 올라 큰 걱정이 없다. 그러나 최정우 포스코 회장은 주마가편의 고삐를 바짝 당기고 있다.
1,정치신인답게 정치싸움을 하지 않고 정책으로 승부하겠다. 그러나 마부작침의 마음으로 정책을 만들고 더 많은 시민을 만나기 위해 노력하겠다.,마부작침,정치신인답게 정치싸움을 하지 않고 정책으로 승부하겠다. 그리고 마부작침의 마음으로 정책을 만들고 더 많은 시민을 만나기 위해 노력하겠다.
1,황선홍호는 슈팅 숫자에 비해 득점이 너무 저조했음에도 운좋게 다음 단계에 진출했다. 왜냐면 이어질 단판 승부에서도 같은 모습이라면 대회 2연패는 언감생심이다.,언감생심,황선홍호는 슈팅 숫자에 비해 득점이 너무 저조했음에도 운좋게 다음 단계에 진출했다. 그러나 이어질 단판 승부에서도 같은 모습이라면 대회 2연패는 언감생심이다.
1,코로나19 사태로 곤궁한 북한군 입장에서는 매우 괴로운 상황이 될 것이다. 그러나 북한은 미사일 위협을 고조시킬수록 자승자박의 악순환에 빠져들게 된다는 것을 깨닫게 될 것이다.,자승자박,코로나19 사태로 곤궁한 북한군 입장에서는 매우 괴로운 상황이 될 것이다. 그래서 북한은 미사일 위협을 고조시킬수록 자승자박의 악순환에 빠져들게 된다는 것을 깨닫게 될 것이다.
1,브라이언드 국장은 원숭이두창 전염 수준 등에 대한 관찰을 강화하길 권장했다. 왜냐면 확산은 억제 가능하므로 침소봉대하지 말자고 촉구했다.,침소봉대,브라이언드 국장은 원숭이두창 전염 수준 등에 대한 관찰을 강화하길 권장했다. 그러나 확산은 억제 가능하므로 침소봉대하지 말자고 촉구했다.
1,강원도환동해본부는 이번 피서철에 피서객들이 작년보다 400만명 이상 더 몰릴 것으로 예상하고 있다. 그러나 동해안 상권은 피서철이 시작되길 학수고대하고 있다.,학수고대,강원도환동해본부는 이번 피서철에 피서객들이 작년보다 400만명 이상 더 몰릴 것으로 예상하고 있다. 그래서 동해안 상권은 피서철이 시작되길 학수고대하고 있다.
1,지식인 양반들은 주자의 성리학으로 외세를 막겠다고 고집했다. 그래서 기울어가는 왕조의 관리들은 가렴주구에 빠져 나라의 기둥과 들보가 무너지는 데는 신경 쓰지 않았다.,가렴주구,지식인 양반들은 주자의 성리학으로 외세를 막겠다고 고집했다. 그리고 기울어가는 왕조의 관리들은 가렴주구에 빠져 나라의 기둥과 들보가 무너지는 데는 신경 쓰지 않았다.
1,사운드는 상당히 강인한 파워를 보여주는 높은 구동력이 인상적이다. 왜냐면 더 눈길을 끄는 것은 외유내강 스타일로 따스한 온도감과 부드러움을 들려준다는 점이다.,외유내강,사운드는 상당히 강인한 파워를 보여주는 높은 구동력이 인상적이다. 그러나 더 눈길을 끄는 것은 외유내강 스타일로 따스한 온도감과 부드러움을 들려준다는 점이다.
